Step 100: {'total': 0.6359279751777649, 'task': 1.0756429433822632, 'energy': -0.49072161316871643, 'convergence': 0.05000000074505806, 'stability': 0.0010066175600513816, 'num_iterations': 10.0, 'lipschitz_constant': 1.0006617307662964, 'energy_components': {'hopfield': -5.2794904708862305, 'consistency': 0.01718047633767128, 'regularization': 0.3550938069820404, 'total': -4.9072160720825195}}
Step 200: {'total': 0.006865967996418476, 'task': 0.9925963282585144, 'energy': -1.0367060899734497, 'convergence': 0.05000000074505806, 'stability': 0.0009757291991263628, 'num_iterations': 10.0, 'lipschitz_constant': 0.9975728988647461, 'energy_components': {'hopfield': -10.459144592285156, 'consistency': 0.008742698468267918, 'regularization': 0.08334141224622726, 'total': -10.367060661315918}}
Step 300: {'total': 0.26708200573921204, 'task': 0.9595572352409363, 'energy': -0.743448793888092, 'convergence': 0.05000000074505806, 'stability': 0.0009735530475154519, 'num_iterations': 10.0, 'lipschitz_constant': 0.9973552823066711, 'energy_components': {'hopfield': -7.537431716918945, 'consistency': 0.023850880563259125, 'regularization': 0.0790930762887001, 'total': -7.434487819671631}}
Step 400: {'total': 0.3816585838794708, 'task': 0.9047179818153381, 'energy': -0.5740227699279785, 'convergence': 0.05000000074505806, 'stability': 0.000963360071182251, 'num_iterations': 10.0, 'lipschitz_constant': 0.9963359832763672, 'energy_components': {'hopfield': -5.876337051391602, 'consistency': 0.0222519151866436, 'regularization': 0.1138571947813034, 'total': -5.740227699279785}}
Step 500: {'total': 0.4221455752849579, 'task': 0.9140526652336121, 'energy': -0.5428035855293274, 'convergence': 0.05000000074505806, 'stability': 0.000896495534107089, 'num_iterations': 10.0, 'lipschitz_constant': 0.9896495342254639, 'energy_components': {'hopfield': -5.603038787841797, 'consistency': 0.018358392640948296, 'regularization': 0.15664470195770264, 'total': -5.428035736083984}}
Step 600: {'total': 0.3442060947418213, 'task': 0.82124263048172, 'energy': -0.5279316902160645, 'convergence': 0.05000000074505806, 'stability': 0.0008951514610089362, 'num_iterations': 10.0, 'lipschitz_constant': 0.9895151257514954, 'energy_components': {'hopfield': -5.514089584350586, 'consistency': 0.020322468131780624, 'regularization': 0.21445047855377197, 'total': -5.2793169021606445}}
Step 700: {'total': 0.3827197849750519, 'task': 0.8746443390846252, 'energy': -0.5428044199943542, 'convergence': 0.05000000074505806, 'stability': 0.0008798628696240485, 'num_iterations': 10.0, 'lipschitz_constant': 0.9879862666130066, 'energy_components': {'hopfield': -5.676647186279297, 'consistency': 0.01250058226287365, 'regularization': 0.23610201478004456, 'total': -5.428044319152832}}
Step 800: {'total': 0.33440765738487244, 'task': 0.811723530292511, 'energy': -0.5281739234924316, 'convergence': 0.05000000074505806, 'stability': 0.0008580315043218434, 'num_iterations': 10.0, 'lipschitz_constant': 0.9858031272888184, 'energy_components': {'hopfield': -5.611546516418457, 'consistency': 0.012747579254209995, 'regularization': 0.31705930829048157, 'total': -5.281739234924316}}
Step 900: {'total': 0.32236969470977783, 'task': 0.7966887354850769, 'energy': -0.5251662135124207, 'convergence': 0.05000000074505806, 'stability': 0.0008471709443256259, 'num_iterations': 10.0, 'lipschitz_constant': 0.984717071056366, 'energy_components': {'hopfield': -5.649679660797119, 'consistency': 0.011942703276872635, 'regularization': 0.3860749900341034, 'total': -5.251661777496338}}
Step 1000: {'total': 0.10741929709911346, 'task': 0.7995906472206116, 'energy': -0.7430928945541382, 'convergence': 0.05000000074505806, 'stability': 0.0009215461905114353, 'num_iterations': 10.0, 'lipschitz_constant': 0.992154598236084, 'energy_components': {'hopfield': -7.843389511108398, 'consistency': 0.004579443484544754, 'regularization': 0.40788111090660095, 'total': -7.430928707122803}}
Step 1100: {'total': 0.2479335516691208, 'task': 0.8018352389335632, 'energy': -0.6048551797866821, 'convergence': 0.05000000074505806, 'stability': 0.0009534972487017512, 'num_iterations': 10.0, 'lipschitz_constant': 0.9953497052192688, 'energy_components': {'hopfield': -6.481571197509766, 'consistency': 0.0017389601562172174, 'regularization': 0.43128079175949097, 'total': -6.048551559448242}}
Step 1200: {'total': 0.27478235960006714, 'task': 0.831636905670166, 'energy': -0.607814610004425, 'convergence': 0.05000000074505806, 'stability': 0.0009600382763892412, 'num_iterations': 10.0, 'lipschitz_constant': 0.9960038065910339, 'energy_components': {'hopfield': -6.534514427185059, 'consistency': 0.0019001944456249475, 'regularization': 0.45446836948394775, 'total': -6.078145980834961}}
